0.125	0.0625	0.0625	0.832
0.125	0.0625	0.125	0.824
0.125	0.0625	0.25	0.688
0.125	0.0625	0.5	0.717
0.125	0.0625	1	0.765
0.125	0.0625	2	0.807
0.125	0.0625	4	0.779
0.125	0.0625	8	0.771
0.125	0.0625	16	0.689
0.125	0.0625	32	0.657
0.125	0.0625	64	0.627
0.125	0.125	0.0625	0.846
0.125	0.125	0.125	0.867
0.125	0.125	0.25	0.755
0.125	0.125	0.5	0.744
0.125	0.125	1	0.751
0.125	0.125	2	0.805
0.125	0.125	4	0.781
0.125	0.125	8	0.736
0.125	0.125	16	0.722
0.125	0.125	32	0.689
0.125	0.125	64	0.576
0.125	0.25	0.0625	0.857
0.125	0.25	0.125	0.883
0.125	0.25	0.25	0.865
0.125	0.25	0.5	0.759
0.125	0.25	1	0.755
0.125	0.25	2	0.831
0.125	0.25	4	0.787
0.125	0.25	8	0.787
0.125	0.25	16	0.716
0.125	0.25	32	0.56
0.125	0.25	64	0.506
0.125	0.5	0.0625	0.867
0.125	0.5	0.125	0.883
0.125	0.5	0.25	0.88
0.125	0.5	0.5	0.822
0.125	0.5	1	0.871
0.125	0.5	2	0.837
0.125	0.5	4	0.838
0.125	0.5	8	0.775
0.125	0.5	16	0.649
0.125	0.5	32	0.787
0.125	0.5	64	0.782
0.125	1	0.0625	0.882
0.125	1	0.125	0.883
0.125	1	0.25	0.877
0.125	1	0.5	0.864
0.125	1	1	0.871
0.125	1	2	0.846
0.125	1	4	0.796
0.125	1	8	0.739
0.125	1	16	0.829
0.125	1	32	0.825
0.125	1	64	0.759
0.125	2	0.0625	0.85
0.125	2	0.125	0.868
0.125	2	0.25	0.883
0.125	2	0.5	0.856
0.125	2	1	0.851
0.125	2	2	0.861
0.125	2	4	0.825
0.125	2	8	0.799
0.125	2	16	0.848
0.125	2	32	0.824
0.125	2	64	0.734
0.125	4	0.0625	0.699
0.125	4	0.125	0.763
0.125	4	0.25	0.774
0.125	4	0.5	0.779
0.125	4	1	0.78
0.125	4	2	0.828
0.125	4	4	0.815
0.125	4	8	0.82
0.125	4	16	0.851
0.125	4	32	0.83
0.125	4	64	0.648
0.125	8	0.0625	0.609
0.125	8	0.125	0.6
0.125	8	0.25	0.608
0.125	8	0.5	0.631
0.125	8	1	0.656
0.125	8	2	0.745
0.125	8	4	0.817
0.125	8	8	0.814
0.125	8	16	0.841
0.125	8	32	0.834
0.125	8	64	0.625
0.125	16	0.0625	0.494
0.125	16	0.125	0.5
0.125	16	0.25	0.478
0.125	16	0.5	0.479
0.125	16	1	0.53
0.125	16	2	0.59
0.125	16	4	0.658
0.125	16	8	0.746
0.125	16	16	0.793
0.125	16	32	0.812
0.125	16	64	0.591
0.125	32	0.0625	0.425
0.125	32	0.125	0.384
0.125	32	0.25	0.371
0.125	32	0.5	0.363
0.125	32	1	0.401
0.125	32	2	0.434
0.125	32	4	0.48
0.125	32	8	0.646
0.125	32	16	0.668
0.125	32	32	0.697
0.125	32	64	0.531
0.125	64	0.0625	0.336
0.125	64	0.125	0.273
0.125	64	0.25	0.264
0.125	64	0.5	0.302
0.125	64	1	0.336
0.125	64	2	0.368
0.125	64	4	0.356
0.125	64	8	0.345
0.125	64	16	0.437
0.125	64	32	0.454
0.125	64	64	0.605
0.25	0.0625	0.0625	0.933
0.25	0.0625	0.125	0.843
0.25	0.0625	0.25	0.731
0.25	0.0625	0.5	0.711
0.25	0.0625	1	0.83
0.25	0.0625	2	0.804
0.25	0.0625	4	0.818
0.25	0.0625	8	0.773
0.25	0.0625	16	0.735
0.25	0.0625	32	0.684
0.25	0.0625	64	0.632
0.25	0.125	0.0625	0.9
0.25	0.125	0.125	0.848
0.25	0.125	0.25	0.728
0.25	0.125	0.5	0.737
0.25	0.125	1	0.807
0.25	0.125	2	0.832
0.25	0.125	4	0.796
0.25	0.125	8	0.769
0.25	0.125	16	0.719
0.25	0.125	32	0.691
