0.125	0.0625	0.0625	0.385
0.125	0.0625	0.125	0.352
0.125	0.0625	0.25	0.282
0.125	0.0625	0.5	0.308
0.125	0.0625	1	0.339
0.125	0.0625	2	0.357
0.125	0.0625	4	0.363
0.125	0.0625	8	0.316
0.125	0.0625	16	0.273
0.125	0.0625	32	0.262
0.125	0.0625	64	0.287
0.125	0.125	0.0625	0.366
0.125	0.125	0.125	0.378
0.125	0.125	0.25	0.299
0.125	0.125	0.5	0.311
0.125	0.125	1	0.31
0.125	0.125	2	0.32
0.125	0.125	4	0.36
0.125	0.125	8	0.305
0.125	0.125	16	0.264
0.125	0.125	32	0.241
0.125	0.125	64	0.247
0.125	0.25	0.0625	0.367
0.125	0.25	0.125	0.391
0.125	0.25	0.25	0.406
0.125	0.25	0.5	0.296
0.125	0.25	1	0.296
0.125	0.25	2	0.302
0.125	0.25	4	0.324
0.125	0.25	8	0.334
0.125	0.25	16	0.309
0.125	0.25	32	0.253
0.125	0.25	64	0.3
0.125	0.5	0.0625	0.359
0.125	0.5	0.125	0.372
0.125	0.5	0.25	0.375
0.125	0.5	0.5	0.294
0.125	0.5	1	0.284
0.125	0.5	2	0.292
0.125	0.5	4	0.3
0.125	0.5	8	0.326
0.125	0.5	16	0.308
0.125	0.5	32	0.237
0.125	0.5	64	0.309
0.125	1	0.0625	0.348
0.125	1	0.125	0.351
0.125	1	0.25	0.299
0.125	1	0.5	0.279
0.125	1	1	0.272
0.125	1	2	0.277
0.125	1	4	0.327
0.125	1	8	0.344
0.125	1	16	0.329
0.125	1	32	0.272
0.125	1	64	0.247
0.125	2	0.0625	0.346
0.125	2	0.125	0.319
0.125	2	0.25	0.271
0.125	2	0.5	0.258
0.125	2	1	0.267
0.125	2	2	0.291
0.125	2	4	0.312
0.125	2	8	0.349
0.125	2	16	0.317
0.125	2	32	0.26
0.125	2	64	0.188
0.125	4	0.0625	0.323
0.125	4	0.125	0.291
0.125	4	0.25	0.277
0.125	4	0.5	0.277
0.125	4	1	0.254
0.125	4	2	0.267
0.125	4	4	0.276
0.125	4	8	0.311
0.125	4	16	0.322
0.125	4	32	0.263
0.125	4	64	0.252
0.125	8	0.0625	0.299
0.125	8	0.125	0.268
0.125	8	0.25	0.271
0.125	8	0.5	0.253
0.125	8	1	0.26
0.125	8	2	0.252
0.125	8	4	0.292
0.125	8	8	0.266
0.125	8	16	0.263
0.125	8	32	0.242
0.125	8	64	0.199
0.125	16	0.0625	0.289
0.125	16	0.125	0.257
0.125	16	0.25	0.258
0.125	16	0.5	0.267
0.125	16	1	0.273
0.125	16	2	0.265
0.125	16	4	0.302
0.125	16	8	0.294
0.125	16	16	0.296
0.125	16	32	0.291
0.125	16	64	0.249
0.125	32	0.0625	0.283
0.125	32	0.125	0.248
